OrdenNum;Est_SC;F_Creacion;ETA;FechaLibera;Facility;SolCliente;DO;Est_DO;T_Orden;Ant_Est;Nuev_Est;DO;SC;Estado
116810428;500;2017-12-25 17:08:36;06/01/18;2017-12-25 17:8:36. 426000000;012;116810428;122834355;110;6;Sourced;Allocated;122834355;116810428;1
116810445;400;2017-12-25 17:14:21;29/12/17;2017-12-25 17:14:21. 31000000;200;116810445;122834257;130;42;Sourced;Allocated;122834257;null;1
116810445;400;2017-12-25 17:14:20;29/12/17;2017-12-25 17:14:20. 322000000;200;116810445;122834257;130;42;Created;Sourced;122834257;null;1
116811922;500;2017-12-25 22:51:01;28/12/17;2017-12-25 22:51:1. 87000000;200;116811922;122835448;110;6;Created;Sourced;122835448;null;1
116808054;600;2017-12-25 09:00:03;30/12/17;2017-12-25 9:0:3. 0;012;116808054;122833641;130;6;DO Created;Released;122833641;null;1
116810480;500;2017-12-25 19:00:15;03/01/18;2017-12-25 19:0:14. 892000000;200;116810480;122834402;110;6;Allocated;DO Created;122834402;null;1
116809067;500;2017-12-25 09:56:12;29/12/17;2017-12-25 9:56:12. 0;012;116809067;122833685;110;6;Created;Allocated;122833685;116809067;1
116809075;500;2017-12-25 11:00:19;28/12/17;2017-12-25 11:0:19. 0;200;116809075;122833709;110;6;DO Created;Released;122833709;null;1
116809522;400;2017-12-25 12:50:36;27/12/17;2017-12-25 12:50:36. 0;200;116809522;122833829;130;42;Created;Allocated;122833829;null;1
116810495;400;2017-12-25 17:29:48;28/12/17;2017-12-25 17:29:48. 72000000;200;116810495;122834280;110;42;Sourced;Created;122834280;null;1
116809564;500;2017-12-25 15:00:23;28/12/17;2017-12-25 15:0:23. 0;200;116809564;122834008;110;6;Allocated;DO Created;122834008;null;1
116811011;500;2017-12-25 19:34:01;30/12/17;2017-12-25 19:34:1. 965000000;012;116811011;122834513;110;6;Created;Sourced;122834513;116811011;1
116811018;400;2017-12-25 19:36:14;29/12/17;2017-12-25 19:36:14. 974000000;200;116811018;122834484;130;42;Created;Sourced;122834484;null;1
116811527;500;2017-12-25 21:40:23;28/12/17;2017-12-25 21:40:23. 0;200;116811527;122834893;110;6;Created;Allocated;122834893;null;1
116809587;400;2017-12-25 13:10:39;28/12/17;2017-12-25 13:10:39. 43000000;200;116809587;122833897;110;42;Created;Sourced;122833897;null;1
116811095;500;2017-12-25 20:01:18;30/12/17;2017-12-25 20:1:18. 497000000;012;116811095;122834670;110;6;Allocated;Sourced;122834670;116811095;1
116811095;500;2017-12-25 19:57:29;30/12/17;2017-12-25 19:57:29. 883000000;012;116811095;122834670;110;6;Created;Sourced;122834670;116811095;1
116812028;400;2017-12-25 23:12:12;27/12/17;2017-12-25 23:12:12. 142000000;200;116812028;122834934;130;42;Sourced;Allocated;122834934;null;1
116812083;400;2017-12-25 23:23:26;27/12/17;2017-12-25 23:23:26. 43000000;200;116812083;122835042;130;42;Sourced;Allocated;122835042;null;1
116812093;400;2017-12-25 23:25:19;28/12/17;2017-12-25 23:25:19. 549000000;200;116812093;122835046;130;42;Created;Sourced;122835046;null;1
116812124;400;2017-12-25 23:33:34;28/12/17;2017-12-25 23:33:34. 0;200;116812124;122835019;110;42;Created;Allocated;122835019;null;1
116808113;400;2017-12-25 03:28:36;27/12/17;2017-12-25 3:28:36. 761000000;200;116808113;122833586;130;42;Allocated;Sourced;122833586;null;1
116809508;500;2017-12-25 13:00:06;28/12/17;2017-12-25 13:0:6. 0;012;116809508;122833858;110;6;Allocated;DO Created;122833858;null;1
116810976;400;2017-12-25 19:25:46;29/12/17;2017-12-25 19:25:46. 0;200;20171225003219642360;122834459;130;42;Created;Allocated;122834459;null;1
116810989;400;2017-12-25 19:29:20;29/12/17;2017-12-25 19:29:20. 596000000;200;116810989;122834477;130;42;Created;Sourced;122834477;null;1
116809124;500;2017-12-25 10:34:45;04/01/18;2017-12-25 10:34:45. 996000000;200;116809124;122833710;110;6;Sourced;Created;122833710;null;1
116809635;600;2017-12-25 13:20:11;27/12/17;2017-12-25 13:20:11. 0;200;116809635;122833996;130;6;Created;Allocated;122833996;null;1
116810745;400;2017-12-25 18:20:58;27/12/17;2017-12-25 18:20:58. 0;200;116810745;122834345;130;42;Created;Allocated;122834345;null;1
116811670;500;2017-12-25 22:12:24;10/01/18;2017-12-25 22:12:24. 229000000;012;116811670;122834920;110;6;Created;Sourced;122834920;null;1
116809646;500;2017-12-25 13:26:03;28/12/17;2017-12-25 13:23:12. 61000000;200;116809646;122833994;110;6;Created;Sourced;122833994;null;1
116811230;500;2017-12-25 20:28:27;28/12/17;2017-12-25 20:28:27. 0;012;116811230;122834595;110;6;Created;Allocated;122834595;null;1
116811230;500;2017-12-25 21:00:11;28/12/17;2017-12-25 21:0:11. 0;012;116811230;122834595;110;6;DO Created;Released;122834595;null;1
116811683;600;2017-12-25 22:15:17;04/01/18;2017-12-25 22:15:17. 0;200;116811683;122834892;130;6;Created;Allocated;122834892;null;1
116811692;500;2017-12-25 22:17:31;28/12/17;2017-12-25 22:17:31. 537000000;012;116811692;122835321;110;6;Sourced;Allocated;122835321;116811692;1
116809046;600;2017-12-25 13:00:06;30/12/17;2017-12-25 13:0:6. 0;012;116809046;122833839;130;6;Allocated;DO Created;122833839;null;1
116810010;400;2017-12-25 15:08:25;28/12/17;2017-12-25 15:8:25. 0;200;116810010;122834030;110;42;Created;Allocated;122834030;null;1
116811033;500;2017-12-25 20:02:39;28/12/17;2017-12-25 19:40:39. 555000000;200;116811033;122834643;110;6;Sourced;Allocated;122834643;null;1
116811033;500;2017-12-25 20:02:21;28/12/17;2017-12-25 20:2:21. 196000000;200;116811033;122834643;110;6;Allocation Failed;Sourced;122834643;null;1
116811033;500;2017-12-25 20:02:38;28/12/17;2017-12-25 20:2:21. 293000000;200;116811033;122834643;110;6;Allocated;Sourced;122834643;null;1
116809226;500;2017-12-25 13:00:07;28/12/17;2017-12-25 13:0:7. 0;012;116809226;122833843;110;6;DO Created;Released;122833843;null;1
116810370;500;2017-12-25 16:53:20;28/12/17;2017-12-25 16:53:19. 972000000;200;116810370;122834422;110;6;Sourced;Created;122834422;null;1
116810770;500;2017-12-25 18:27:38;28/12/17;2017-12-25 18:27:38. 943000000;012;116810770;122834467;110;6;Created;Sourced;122834467;116810770;1
116810770;500;2017-12-25 19:30:09;28/12/17;2017-12-25 19:30:9. 0;012;116810770;122834467;110;6;Partially Released;Released;122834467;116810770;1
116810770;500;2017-12-25 19:30:09;28/12/17;2017-12-25 19:0:17. 159000000;012;116810770;122834467;110;6;DO Created;Released;122834467;116810770;1
116811720;650;2017-12-25 22:22:15;29/12/17;2017-12-25 22:22:15. 0;012;116811720;122835340;110;6;Created;Allocated;122835340;116811720;1
116811720;650;2017-12-25 22:22:44;29/12/17;2017-12-25 22:22:5. 363000000;012;116811720;122835341;110;6;Created;Sourced;122835341;116811720;1
116811720;650;2017-12-25 22:22:45;06/01/18;2017-12-25 22:22:14. 372000000;012;116811720;122835340;110;6;Sourced;Allocated;122835340;116811720;1
116809261;400;2017-12-25 11:37:29;27/12/17;2017-12-25 11:37:29. 0;200;116809261;122833744;130;42;Created;Allocated;122833744;null;1
116810770;500;2017-12-25 18:27:39;10/01/18;2017-12-25 18:27:39. 0;200;116810770;122834400;110;6;Created;Allocated;122834400;null;1
116810770;500;2017-12-25 18:27:39;10/01/18;2017-12-25 18:27:39. 355000000;012;116810770;122834467;110;6;Sourced;Allocated;122834467;116810770;1
116810770;500;2017-12-25 18:27:38;10/01/18;2017-12-25 18:27:38. 943000000;012;116810770;122834467;110;6;Created;Sourced;122834467;116810770;1
